epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,7134.42,1.45726,1.58715,1.57934,0.8578,0.75161,0.83241,0.59547,1.48625,1.75512,1.69237,0.0174147,0.0058049,0.0174147,0.0058049,0.0174147,0.0058049,0.0174147,0.0058049
86,7217.82,1.44477,1.57354,1.57287,0.85849,0.75357,0.83344,0.59602,1.4844,1.75347,1.68996,0.0172649,0.00575496,0.0172649,0.00575496,0.0172649,0.00575496,0.0172649,0.00575496
87,7300.56,1.47158,1.60695,1.58715,0.85525,0.75716,0.83487,0.59658,1.48243,1.75147,1.68905,0.0171151,0.00570502,0.0171151,0.00570502,0.0171151,0.00570502,0.0171151,0.00570502
88,7383.88,1.44122,1.56947,1.57241,0.85746,0.75816,0.83597,0.59608,1.48057,1.7505,1.68695,0.0169652,0.00565508,0.0169652,0.00565508,0.0169652,0.00565508,0.0169652,0.00565508
89,7467,1.43068,1.55516,1.57076,0.85953,0.75713,0.83584,0.59565,1.48079,1.74734,1.686,0.0168154,0.00560514,0.0168154,0.00560514,0.0168154,0.00560514,0.0168154,0.00560514
90,7550.42,1.4432,1.55651,1.57366,0.85737,0.75971,0.83635,0.59694,1.47935,1.74306,1.68532,0.0166656,0.00555519,0.0166656,0.00555519,0.0166656,0.00555519,0.0166656,0.00555519
91,7633.56,1.45262,1.57079,1.57561,0.85861,0.76178,0.83619,0.59731,1.47822,1.73914,1.68423,0.0165158,0.00550525,0.0165158,0.00550525,0.0165158,0.00550525,0.0165158,0.00550525
92,7716.88,1.43439,1.54237,1.56615,0.86577,0.76036,0.83741,0.59903,1.47714,1.73704,1.68383,0.0163659,0.00545531,0.0163659,0.00545531,0.0163659,0.00545531,0.0163659,0.00545531
93,7799.96,1.43758,1.55691,1.56927,0.86176,0.76169,0.83752,0.59903,1.47615,1.73482,1.68341,0.0162161,0.00540537,0.0162161,0.00540537,0.0162161,0.00540537,0.0162161,0.00540537
94,7883.32,1.42275,1.52869,1.55728,0.86441,0.7605,0.83731,0.59905,1.47561,1.73315,1.68227,0.0160663,0.00535543,0.0160663,0.00535543,0.0160663,0.00535543,0.0160663,0.00535543
95,7966.47,1.43725,1.54688,1.56877,0.86293,0.76041,0.83764,0.59918,1.475,1.7305,1.68179,0.0159165,0.00530549,0.0159165,0.00530549,0.0159165,0.00530549,0.0159165,0.00530549
96,8049.53,1.43343,1.54684,1.56854,0.86257,0.76183,0.83849,0.59897,1.47494,1.7281,1.68141,0.0157666,0.00525554,0.0157666,0.00525554,0.0157666,0.00525554,0.0157666,0.00525554
97,8132.78,1.42937,1.53098,1.56475,0.86408,0.76239,0.83855,0.59934,1.47476,1.7267,1.68119,0.0156168,0.0052056,0.0156168,0.0052056,0.0156168,0.0052056,0.0156168,0.0052056
98,8215.8,1.44011,1.55343,1.56973,0.86269,0.76408,0.83946,0.59999,1.47419,1.72428,1.68058,0.015467,0.00515566,0.015467,0.00515566,0.015467,0.00515566,0.015467,0.00515566
99,8299.05,1.42996,1.53265,1.56177,0.86307,0.76261,0.83977,0.60004,1.47358,1.72243,1.68008,0.0153172,0.00510572,0.0153172,0.00510572,0.0153172,0.00510572,0.0153172,0.00510572
100,8382.3,1.4247,1.53247,1.56326,0.86269,0.76236,0.8403,0.60096,1.4734,1.71969,1.68011,0.0151673,0.00505578,0.0151673,0.00505578,0.0151673,0.00505578,0.0151673,0.00505578
101,8465.7,1.42678,1.52364,1.56072,0.86453,0.76203,0.84034,0.6015,1.47327,1.71628,1.67943,0.0150175,0.00500584,0.0150175,0.00500584,0.0150175,0.00500584,0.0150175,0.00500584
