epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,11818.9,0.98034,1.77778,0.77313,0.76269,0.73161,0.76963,0.54297,1.55582,2.66185,0.95885,0.000728496,0.000728496,0.000728496
102,11996.2,0.99998,1.79376,0.77621,0.76404,0.73144,0.76943,0.54298,1.5561,2.66077,0.95897,0.000715132,0.000715132,0.000715132
103,12170.5,0.98721,1.80329,0.77423,0.76284,0.73163,0.76959,0.54298,1.55651,2.66037,0.95912,0.000701768,0.000701768,0.000701768
104,12353.5,0.98683,1.77144,0.7757,0.76271,0.7308,0.7701,0.54319,1.55677,2.65974,0.95927,0.000688404,0.000688404,0.000688404
105,12535.1,0.98903,1.7864,0.77386,0.76225,0.73083,0.77077,0.54358,1.55671,2.65873,0.95927,0.000675041,0.000675041,0.000675041
106,12725.5,0.99078,1.76791,0.7719,0.7615,0.72959,0.77016,0.54294,1.5572,2.65829,0.95926,0.000661677,0.000661677,0.000661677
107,12905.7,0.9824,1.76374,0.77417,0.75989,0.73042,0.76999,0.54276,1.5573,2.65751,0.95942,0.000648313,0.000648313,0.000648313
108,13091.3,0.96083,1.71944,0.76344,0.76026,0.73072,0.7701,0.5429,1.55712,2.65682,0.95932,0.000634949,0.000634949,0.000634949
109,13279.7,0.98031,1.75141,0.77367,0.75704,0.73217,0.77038,0.5432,1.55748,2.65583,0.95972,0.000621586,0.000621586,0.000621586
110,13467.1,0.97443,1.74361,0.76992,0.75602,0.73243,0.77033,0.54373,1.55759,2.65503,0.95993,0.000608222,0.000608222,0.000608222
111,13644.7,0.97962,1.75337,0.77163,0.75681,0.73256,0.77048,0.54352,1.558,2.65517,0.95995,0.000594858,0.000594858,0.000594858
112,13846.4,0.9888,1.74987,0.77362,0.76273,0.73012,0.77057,0.54321,1.55843,2.65573,0.96018,0.000581494,0.000581494,0.000581494
113,13994.8,0.99056,1.74508,0.77211,0.75864,0.73128,0.77073,0.54356,1.55884,2.65531,0.96035,0.000568131,0.000568131,0.000568131
114,14194.2,0.97859,1.73806,0.77074,0.75799,0.73369,0.76983,0.5432,1.55941,2.65583,0.96055,0.000554767,0.000554767,0.000554767
115,14370.3,0.98561,1.7374,0.77227,0.76293,0.73089,0.77056,0.54314,1.55959,2.65675,0.96067,0.000541403,0.000541403,0.000541403
116,14523.5,0.97178,1.72353,0.76905,0.75955,0.73313,0.77029,0.54314,1.56018,2.65655,0.96097,0.000528039,0.000528039,0.000528039
117,14699.9,0.98599,1.74724,0.77326,0.75978,0.7321,0.77017,0.54325,1.56034,2.6551,0.96112,0.000514676,0.000514676,0.000514676
118,14855.9,0.97425,1.73208,0.77253,0.75698,0.73459,0.76953,0.54309,1.56069,2.6552,0.96123,0.000501312,0.000501312,0.000501312
119,15001.1,0.9881,1.73344,0.77411,0.75646,0.73351,0.76959,0.54296,1.56092,2.6537,0.9614,0.000487948,0.000487948,0.000487948
120,15131.8,0.96668,1.6943,0.76811,0.75227,0.73539,0.76941,0.54271,1.56107,2.65279,0.96139,0.000474584,0.000474584,0.000474584
121,15281.9,0.97271,1.71089,0.77014,0.75335,0.73562,0.76977,0.54295,1.56124,2.65245,0.96161,0.000461221,0.000461221,0.000461221
122,15407,0.97329,1.70348,0.76768,0.75358,0.73581,0.76976,0.54322,1.56176,2.65274,0.9616,0.000447857,0.000447857,0.000447857
123,15542,0.96517,1.70595,0.76711,0.74839,0.73902,0.76944,0.54303,1.56208,2.65149,0.96164,0.000434493,0.000434493,0.000434493
124,15724.5,0.95925,1.67121,0.76228,0.7494,0.73839,0.76873,0.54284,1.56227,2.65097,0.96172,0.000421129,0.000421129,0.000421129
125,15865.5,0.9552,1.67415,0.76521,0.74957,0.73947,0.76853,0.54276,1.56284,2.65135,0.96202,0.000407766,0.000407766,0.000407766
126,16065.2,0.96225,1.68345,0.7677,0.74567,0.74033,0.76875,0.54289,1.56303,2.65187,0.96226,0.000394402,0.000394402,0.000394402
127,16247.2,0.97027,1.68879,0.76876,0.74578,0.74013,0.76864,0.54321,1.56367,2.65208,0.96256,0.000381038,0.000381038,0.000381038
128,16395.5,0.95498,1.67165,0.76461,0.7477,0.73853,0.76822,0.54304,1.56432,2.65176,0.96291,0.000367674,0.000367674,0.000367674
129,16537,0.94514,1.64378,0.76258,0.7465,0.73827,0.76806,0.54306,1.56481,2.65142,0.96328,0.00035431,0.00035431,0.00035431
130,16734.6,0.9723,1.69006,0.7704,0.7429,0.74074,0.76777,0.54279,1.56528,2.65167,0.96337,0.000340947,0.000340947,0.000340947
131,16940.7,0.96189,1.67384,0.76576,0.74545,0.73817,0.76808,0.54317,1.56567,2.65112,0.96362,0.000327583,0.000327583,0.000327583
132,17123.7,0.94031,1.62482,0.76112,0.75045,0.73659,0.76737,0.54251,1.5662,2.65172,0.96391,0.000314219,0.000314219,0.000314219
133,17305.8,0.95193,1.65286,0.76296,0.7509,0.73604,0.7672,0.54226,1.56652,2.65192,0.96398,0.000300855,0.000300855,0.000300855
134,17484.1,0.96005,1.65863,0.76719,0.74639,0.73868,0.76676,0.54188,1.56691,2.65274,0.96411,0.000287492,0.000287492,0.000287492
135,17653,0.95261,1.64339,0.76462,0.75044,0.73454,0.76674,0.54146,1.56729,2.65255,0.96434,0.000274128,0.000274128,0.000274128
